#   Ef[Ry]      T[K]                  N[e/uc]        DOS(ef)[1/(Ha*uc)]                    S[V/K]   sigma/tau0[1/(ohm*m*s)]                RH[m**3/C]    kappae/tau0[W/(m*K*s)]             cv[J/(mol*K)]             chi[m**3/mol]
 -0.580882       100                  30.6357                   21.2019               1.31114e-05               9.67591e+19               -2.3528e-08                2.1797e+14                  0.163524               2.25517e-12
 -0.580882       200                  30.6364                   19.9113               9.45205e-07               9.44877e+19              -6.39969e-09               4.63216e+14                  0.346377                2.1179e-12
 -0.580882       300                   30.636                   19.8102              -6.65632e-07               9.45983e+19              -2.66159e-09               6.93462e+14                  0.521736               2.10714e-12
 -0.580882       400                  30.6354                   19.8628              -1.84555e-07               9.46317e+19              -1.78487e-09               9.21361e+14                  0.698335               2.11274e-12
 -0.580882       500                  30.6346                   19.9118               1.29026e-07                9.4603e+19              -1.50856e-09               1.14576e+15                  0.876822               2.11795e-12
 -0.580882       600                  30.6338                   19.9542               2.63792e-07               9.45305e+19              -1.38044e-09               1.36519e+15                   1.05773               2.12245e-12
 -0.580882       700                  30.6327                   19.9952                3.4223e-07               9.44173e+19              -1.30086e-09               1.57867e+15                   1.24231               2.12682e-12
 -0.580882       800                  30.6314                   20.0384               4.25574e-07                9.4265e+19              -1.24253e-09               1.78524e+15                   1.43217               2.13141e-12
 -0.580882       900                    30.63                   20.0861               5.37444e-07               9.40755e+19              -1.19584e-09               1.98369e+15                   1.62888               2.13649e-12
 -0.580882      1000                  30.6283                   20.1401               6.85878e-07               9.38502e+19              -1.15669e-09               2.17261e+15                   1.83351               2.14223e-12
 -0.580882      1100                  30.6264                   20.2016               8.72944e-07               9.35893e+19              -1.12311e-09               2.35052e+15                   2.04633               2.14877e-12
 -0.580882      1200                  30.6242                   20.2713               1.09793e-06               9.32927e+19              -1.09402e-09                 2.516e+15                   2.26662               2.15619e-12
 -0.580882      1300                  30.6217                   20.3493               1.35821e-06               9.29595e+19              -1.06878e-09               2.66785e+15                    2.4928               2.16448e-12
 -0.580882      1400                  30.6189                    20.435               1.64946e-06               9.25889e+19               -1.0469e-09               2.80518e+15                   2.72256                2.1736e-12
 -0.579314       100                  30.6065                    18.433              -1.08217e-05               8.64832e+19               1.66624e-08               2.61186e+14                   0.19515               1.96065e-12
 -0.579314       200                  30.6052                   19.8465              -3.30508e-06               9.56692e+19               2.14346e-09               4.75754e+14                  0.355218                 2.111e-12
 -0.579314       300                  30.6045                   20.0528              -8.41157e-07               9.62048e+19                 1.095e-10               6.98028e+14                  0.523746               2.13295e-12
 -0.579314       400                  30.6039                   20.0798               -9.1979e-08               9.59929e+19              -4.96613e-10               9.29681e+14                  0.702821               2.13582e-12
 -0.579314       500                  30.6031                   20.1073               2.10586e-07               9.58436e+19              -7.65601e-10               1.15873e+15                  0.884782               2.13874e-12
 -0.579314       600                  30.6022                   20.1438               3.79374e-07               9.57284e+19               -9.0761e-10               1.38198e+15                    1.0689               2.14263e-12
 -0.579314       700                  30.6011                    20.186               5.17756e-07               9.56009e+19                 -9.85e-10               1.59856e+15                   1.25664               2.14711e-12
 -0.579314       800                  30.5997                   20.2329               6.64967e-07               9.54426e+19              -1.02443e-09               1.80768e+15                    1.4499               2.15211e-12
 -0.579314       900                  30.5982                   20.2854               8.37278e-07               9.52481e+19               -1.0406e-09                2.0082e+15                   1.65041               2.15769e-12
 -0.579314      1000                  30.5964                   20.3448               1.04244e-06               9.50162e+19              -1.04262e-09               2.19871e+15                   1.85924                 2.164e-12
 -0.579314      1100                  30.5944                   20.4121               1.28457e-06               9.47464e+19              -1.03638e-09                2.3777e+15                    2.0765               2.17116e-12
 -0.579314      1200                  30.5921                   20.4879               1.56537e-06               9.44381e+19              -1.02571e-09               2.54379e+15                   2.30127               2.17922e-12
 -0.579314      1300                  30.5895                   20.5723               1.88416e-06               9.40907e+19              -1.01304e-09               2.69579e+15                   2.53171                2.1882e-12
 -0.579314      1400                  30.5866                   20.6645               2.23799e-06               9.37032e+19              -9.99879e-10               2.83285e+15                   2.76528               2.19801e-12
 -0.577745       100                  30.5738                   20.8778              -6.55633e-06               1.14567e+20               1.05148e-08               1.98286e+14                  0.147739                2.2207e-12
 -0.577745       200                  30.5731                   20.5354              -8.64507e-07               1.00025e+20               5.52849e-09               4.53474e+14                  0.337887               2.18428e-12
 -0.577745       300                  30.5726                   20.3542               3.60077e-07               9.77458e+19               1.90748e-09               7.01035e+14                  0.524856               2.16501e-12
 -0.577745       400                  30.5721                   20.3028                3.6397e-07               9.72072e+19               5.08644e-10               9.39999e+14                  0.709329               2.15954e-12
 -0.577745       500                  30.5713                   20.3117               3.99429e-07               9.70133e+19              -1.33392e-10               1.17238e+15                  0.894032               2.16049e-12
 -0.577745       600                  30.5703                   20.3448               5.24255e-07               9.68858e+19              -4.86002e-10               1.39833e+15                   1.08079                 2.164e-12
 -0.577745       700                  30.5691                   20.3883               6.97508e-07               9.67501e+19              -6.94266e-10               1.61742e+15                   1.27156               2.16863e-12
 -0.577745       800                  30.5677                   20.4385               9.00531e-07               9.65841e+19              -8.18259e-10               1.82878e+15                   1.46838               2.17397e-12
 -0.577745       900                  30.5661                   20.4954               1.13065e-06               9.63813e+19              -8.90156e-10               2.03114e+15                   1.67297               2.18003e-12
 -0.577745      1000                  30.5642                     20.56                1.3915e-06               9.61397e+19              -9.29459e-10               2.22302e+15                   1.88628                2.1869e-12
 -0.577745      1100                  30.5621                   20.6332               1.68803e-06               9.58584e+19               -9.4852e-10               2.40288e+15                   2.10822               2.19468e-12
 -0.577745      1200                  30.5597                   20.7154               2.02395e-06               9.55364e+19              -9.55259e-10               2.56933e+15                   2.33759               2.20343e-12
 -0.577745      1300                  30.5569                   20.8065               2.40052e-06               9.51727e+19              -9.54758e-10               2.72123e+15                   2.57227               2.21311e-12
