#   Ef[Ry]      T[K]                  N[e/uc]        DOS(ef)[1/(Ha*uc)]                    S[V/K]   sigma/tau0[1/(ohm*m*s)]                RH[m**3/C]    kappae/tau0[W/(m*K*s)]             cv[J/(mol*K)]             chi[m**3/mol]
 -0.501066       100                  30.4952                   23.9493               1.37739e-05               1.07718e+20               1.39104e-09               2.31229e+14                   0.18015               2.86199e-12
 -0.501066       200                  30.4961                   22.7118               5.76639e-06                1.0355e+20              -7.81932e-10               5.12281e+14                  0.398466               2.71411e-12
 -0.501066       300                  30.4957                   22.6817               5.63861e-06               1.03982e+20              -9.40874e-10               7.66723e+14                  0.601094               2.71052e-12
 -0.501066       400                   30.495                   22.7528               6.95037e-06               1.04161e+20              -9.90764e-10               1.01294e+15                  0.803026               2.71901e-12
 -0.501066       500                   30.494                   22.8084               8.23931e-06               1.04111e+20              -1.01299e-09               1.25478e+15                   1.00989               2.72566e-12
 -0.501066       600                  30.4927                   22.8624               9.49378e-06               1.03951e+20              -1.01373e-09               1.49113e+15                   1.22424               2.73211e-12
 -0.501066       700                  30.4911                   22.9255               1.07563e-05               1.03727e+20              -1.00379e-09               1.71972e+15                   1.44844               2.73966e-12
 -0.501066       800                  30.4891                   23.0028               1.20418e-05               1.03454e+20              -9.90382e-10               1.93799e+15                   1.68436               2.74888e-12
 -0.501066       900                  30.4868                   23.0964               1.33537e-05               1.03132e+20              -9.76841e-10               2.14336e+15                   1.93255               2.76007e-12
 -0.501066      1000                   30.484                   23.2069               1.46911e-05               1.02761e+20              -9.64452e-10               2.33358e+15                   2.19178               2.77327e-12
 -0.501066      1100                  30.4808                   23.3334               1.60496e-05               1.02335e+20              -9.53646e-10               2.50683e+15                   2.45916                2.7884e-12
 -0.501066      1200                  30.4772                    23.474               1.74209e-05               1.01852e+20              -9.44529e-10               2.66187e+15                   2.73061                2.8052e-12
 -0.501066      1300                  30.4731                   23.6258               1.87929e-05                1.0131e+20              -9.37087e-10               2.79803e+15                   3.00147               2.82334e-12
 -0.501066      1400                  30.4687                   23.7852               2.01507e-05               1.00708e+20              -9.31252e-10               2.91519e+15                   3.26708               2.84238e-12
 -0.499509       100                  30.4621                   21.0512               -7.0917e-06               9.21354e+19               -2.0212e-09               2.87587e+14                  0.223739               2.51567e-12
 -0.499509       200                  30.4609                    22.532               7.72554e-07               1.03641e+20              -7.75822e-10               5.26192e+14                  0.410709               2.69262e-12
 -0.499509       300                  30.4601                   22.8769               4.74789e-06               1.04929e+20              -7.32212e-10               7.72235e+14                  0.607578               2.73384e-12
 -0.499509       400                  30.4592                   22.9899               6.98582e-06               1.05062e+20              -8.24042e-10                1.0223e+15                  0.813675               2.74735e-12
 -0.499509       500                  30.4581                   23.0637               8.64865e-06               1.05012e+20              -8.97129e-10               1.26802e+15                    1.0254               2.75617e-12
 -0.499509       600                  30.4567                   23.1339               1.01229e-05               1.04877e+20              -9.33754e-10               1.50702e+15                   1.24471               2.76456e-12
